date,open,high,low,close,Adj Close,volume,trade_count,vwap
2023-01-23 09:01:00+00:00,0.489,0.489,0.489,0.489,0.489,400.0,1.0,0.489
2023-01-23 09:07:00+00:00,0.4895,0.4895,0.4895,0.4895,0.4895,857.0,2.0,0.489499
2023-01-23 09:10:00+00:00,0.4895,0.4895,0.4895,0.4895,0.4895,600.0,2.0,0.489498
2023-01-23 09:49:00+00:00,0.4899,0.4899,0.4899,0.4899,0.4899,500.0,1.0,0.4899
2023-01-23 09:54:00+00:00,0.4899,0.4899,0.4899,0.4899,0.4899,170.0,2.0,0.489892
2023-01-23 10:24:00+00:00,0.4899,0.4899,0.489,0.489,0.489,9926.0,2.0,0.48903
2023-01-23 10:30:00+00:00,0.4625,0.4625,0.4621,0.4621,0.4621,428.0,2.0,0.462193
2023-01-23 10:47:00+00:00,0.46,0.46,0.46,0.46,0.46,2541.0,6.0,0.46
2023-01-23 11:33:00+00:00,0.4626,0.4626,0.4511,0.4516,0.4516,1729.0,7.0,0.452697
2023-01-23 11:42:00+00:00,0.487,0.487,0.487,0.487,0.487,200.0,1.0,0.487
2023-01-23 11:56:00+00:00,0.45,0.45,0.45,0.45,0.45,4141.0,7.0,0.449999
2023-01-23 11:59:00+00:00,0.4419,0.4507,0.4403,0.4403,0.4403,9577.0,21.0,0.442174
2023-01-23 12:00:00+00:00,0.48,0.48,0.48,0.48,0.48,2000.0,1.0,0.48
2023-01-23 12:39:00+00:00,0.478,0.479,0.478,0.479,0.479,3000.0,4.0,0.478404
2023-01-23 12:55:00+00:00,0.4657,0.4657,0.4657,0.4657,0.4657,100.0,1.0,0.4657
2023-01-23 12:57:00+00:00,0.4655,0.477,0.4655,0.4677,0.4677,1000.0,5.0,0.471449
2023-01-23 13:00:00+00:00,0.45,0.4899,0.45,0.4655,0.4655,12350.0,21.0,0.469394
2023-01-23 13:02:00+00:00,0.46,0.46,0.46,0.46,0.46,500.0,1.0,0.46
2023-01-23 13:04:00+00:00,0.46,0.46,0.4505,0.4599,0.4599,45850.0,17.0,0.452449
2023-01-23 13:05:00+00:00,0.46,0.4677,0.46,0.46,0.46,10800.0,11.0,0.464883
2023-01-23 13:06:00+00:00,0.4601,0.4601,0.4599,0.4599,0.4599,8500.0,4.0,0.459907
2023-01-23 13:07:00+00:00,0.46,0.48,0.46,0.48,0.48,10700.0,10.0,0.469719
2023-01-23 13:10:00+00:00,0.456,0.456,0.456,0.456,0.456,800.0,4.0,0.455997
