date,open,high,low,close,Adj Close,volume,trade_count,vwap
2023-01-23 00:00:00+00:00,0.0883,0.0883,0.0883,0.0883,0.0883,5616.0,1.0,0.0883
2023-01-23 00:01:00+00:00,0.0884,0.0884,0.0882,0.0882,0.0882,33319.0,3.0,0.0882782977
2023-01-23 00:02:00+00:00,0.0882,0.0882,0.0881,0.0882,0.0882,12243.0,3.0,0.0881332598
2023-01-23 00:03:00+00:00,0.0882,0.0882,0.0882,0.0882,0.0882,29025.0,11.0,0.0882
2023-01-23 00:04:00+00:00,0.0883,0.0883,0.0883,0.0883,0.0883,12879.0,9.0,0.0883
2023-01-23 00:06:00+00:00,0.0884,0.0884,0.0884,0.0884,0.0884,2960.0,1.0,0.0884
2023-01-23 00:07:00+00:00,0.0884,0.0884,0.0884,0.0884,0.0884,9700.0,2.0,0.0884
2023-01-23 00:08:00+00:00,0.0884,0.0884,0.0884,0.0884,0.0884,11312.0,2.0,0.0884
2023-01-23 00:09:00+00:00,0.0885,0.0885,0.0885,0.0885,0.0885,779.0,2.0,0.0885
2023-01-23 00:10:00+00:00,0.0885,0.0885,0.0883,0.0883,0.0883,38867.0,5.0,0.0883537062
2023-01-23 00:11:00+00:00,0.0883,0.0883,0.0883,0.0883,0.0883,27373.0,6.0,0.0883
2023-01-23 00:12:00+00:00,0.0882,0.0882,0.0882,0.0882,0.0882,780.0,1.0,0.0882
2023-01-23 00:13:00+00:00,0.0881,0.0881,0.0881,0.0881,0.0881,661912.0,54.0,0.0881
2023-01-23 00:14:00+00:00,0.0882,0.0882,0.0881,0.0881,0.0881,284446.0,24.0,0.0881144913
2023-01-23 00:15:00+00:00,0.0881,0.0882,0.0881,0.0882,0.0882,105677.0,6.0,0.0881963464
2023-01-23 00:16:00+00:00,0.0882,0.0882,0.0882,0.0882,0.0882,21266.0,5.0,0.0882
2023-01-23 00:17:00+00:00,0.0881,0.0882,0.0881,0.0882,0.0882,5377.0,2.0,0.0881061373
2023-01-23 00:18:00+00:00,0.0882,0.0883,0.0882,0.0883,0.0883,141642.0,39.0,0.0882053247
2023-01-23 00:19:00+00:00,0.0883,0.0884,0.0883,0.0884,0.0884,89110.0,15.0,0.0883895421
2023-01-23 00:20:00+00:00,0.0884,0.0886,0.0884,0.0885,0.0885,29551.0,11.0,0.088475544
2023-01-23 00:21:00+00:00,0.0885,0.0887,0.0885,0.0886,0.0886,114412.0,24.0,0.0886371858
2023-01-23 00:22:00+00:00,0.0886,0.0888,0.0886,0.0888,0.0888,70263.0,7.0,0.0887037659
2023-01-23 00:23:00+00:00,0.0886,0.0886,0.0886,0.0886,0.0886,50346.0,7.0,0.0886
2023-01-23 00:24:00+00:00,0.0887,0.0887,0.0886,0.0886,0.0886,27560.0,6.0,0.0886023004
2023-01-23 00:25:00+00:00,0.0886,0.0886,0.0886,0.0886,0.0886,21169.0,6.0,0.0886
2023-01-23 00:26:00+00:00,0.0887,0.0888,0.0887,0.0888,0.0888,16291.0,4.0,0.0887343994
2023-01-23 00:27:00+00:00,0.0887,0.0887,0.0887,0.0887,0.0887,5630.0,1.0,0.0887
2023-01-23 00:28:00+00:00,0.0886,0.0886,0.0885,0.0886,0.0886,16595.0,7.0,0.0885620187
2023-01-23 00:29:00+00:00,0.0887,0.0887,0.0887,0.0887,0.0887,13375.0,3.0,0.0887
2023-01-23 00:30:00+00:00,0.0888,0.0888,0.0887,0.0887,0.0887,72635.0,13.0,0.0887471013
2023-01-23 00:31:00+00:00,0.0888,0.0888,0.0888,0.0888,0.0888,25102.0,4.0,0.0888
2023-01-23 00:32:00+00:00,0.0888,0.0889,0.0888,0.0889,0.0889,19987.0,9.0,0.0888539851
2023-01-23 00:33:00+00:00,0.089,0.0891,0.089,0.0891,0.0891,10009.0,4.0,0.0890267759
2023-01-23 00:34:00+00:00,0.0889,0.0889,0.0887,0.0888,0.0888,55519.0,8.0,0.0887802644
2023-01-23 00:35:00+00:00,0.0888,0.0889,0.0888,0.0889,0.0889,19592.0,5.0,0.0888459371
2023-01-23 00:36:00+00:00,0.0889,0.089,0.0889,0.089,0.089,548126.0,38.0,0.0889999752
2023-01-23 00:37:00+00:00,0.0891,0.0891,0.0891,0.0891,0.0891,66490.0,10.0,0.0891
2023-01-23 00:38:00+00:00,0.0891,0.0892,0.0891,0.0892,0.0892,26025.0,5.0,0.0891993045
2023-01-23 00:39:00+00:00,0.0892,0.0893,0.0891,0.0891,0.0891,13741.0,4.0,0.0891987628
2023-01-23 00:40:00+00:00,0.0891,0.0892,0.0891,0.0891,0.0891,60808.0,6.0,0.0891694119
2023-01-23 00:41:00+00:00,0.0891,0.0894,0.0891,0.0894,0.0894,195121.0,27.0,0.0892881684
2023-01-23 00:42:00+00:00,0.0895,0.0896,0.0895,0.0895,0.0895,36350.0,16.0,0.0895530069
2023-01-23 00:43:00+00:00,0.0895,0.0897,0.0895,0.0897,0.0897,125736.0,23.0,0.0896384337
2023-01-23 00:44:00+00:00,0.0897,0.0898,0.0897,0.0898,0.0898,149089.0,27.0,0.0897699575
2023-01-23 00:45:00+00:00,0.0897,0.0897,0.0893,0.0893,0.0893,121353.0,20.0,0.089522479
2023-01-23 00:46:00+00:00,0.0892,0.0893,0.0892,0.0893,0.0893,39912.0,9.0,0.0892592529
2023-01-23 00:47:00+00:00,0.0892,0.0892,0.0892,0.0892,0.0892,9821.0,6.0,0.0892
